,datetime_utc,o3_dpw,o3_pema,o3_pha,mean_o3,std_o3,rsd_o3
1989,2025-03-09 21:00:00+00:00,50.60335,49.79158333333333,49.729866666666666,50.041599999999995,0.48746746928498924,0.009741244670134234
2004,2025-03-10 12:00:00+00:00,40.0648,40.30785,41.1079,40.493516666666665,0.5457732916086442,0.013478041339341423
2038,2025-03-11 22:00:00+00:00,51.977583333333335,51.84765,52.04905,51.95809444444444,0.10210461592206574,0.0019651339606235915
2039,2025-03-11 23:00:00+00:00,49.84531666666667,50.2659,48.93236666666667,49.68119444444445,0.6817476554034856,0.01372244896740242
2061,2025-03-12 21:00:00+00:00,54.375350000000005,53.031283333333334,53.02676666666667,53.4778,0.777304381786471,0.01453508524633532
2078,2025-03-13 14:00:00+00:00,47.984516666666664,48.3316,47.38163333333333,47.899249999999995,0.48068905778868976,0.010035419297560813
2079,2025-03-13 15:00:00+00:00,50.54091666666667,49.5699,49.88705,49.999288888888884,0.495142926709422,0.009902999376846244
2080,2025-03-13 16:00:00+00:00,50.3884,50.43456666666667,50.73813333333333,50.52036666666667,0.18999889765761963,0.003760837661991493
2082,2025-03-13 18:00:00+00:00,49.89788333333333,49.58255,50.736916666666666,50.07245,0.5966537866393808,0.01191580972449682
2084,2025-03-13 20:00:00+00:00,50.027566666666665,49.43683333333333,50.66838333333333,50.044261111111105,0.6159447044836741,0.012307998775646197
2158,2025-03-16 22:00:00+00:00,41.47646666666667,42.08043333333333,42.377066666666664,41.97798888888889,0.45895668439205334,0.010933269947897246
2161,2025-03-17 01:00:00+00:00,43.72678333333333,43.33953333333333,43.96568333333333,43.67733333333333,0.31599039937947615,0.007234654116081786
2162,2025-03-17 02:00:00+00:00,43.118183333333334,43.842650000000006,44.1848,43.71521111111111,0.544608374158629,0.012458097772292483
2163,2025-03-17 03:00:00+00:00,44.158833333333334,43.81336666666667,43.61996666666666,43.86405555555555,0.272985977119164,0.006223455028535073
2166,2025-03-17 06:00:00+00:00,45.113216666666666,44.5455,43.93541666666667,44.53137777777778,0.5890269839917089,0.013227234668801276
2168,2025-03-17 08:00:00+00:00,45.52501666666667,45.01851666666666,44.78168333333333,45.10840555555556,0.3797316425719263,0.00841820139495395
2198,2025-03-18 14:00:00+00:00,40.01745,41.06315,40.54591666666667,40.54217222222223,0.5228600559883592,0.012896695646262533
2199,2025-03-18 15:00:00+00:00,42.45071666666667,42.91355,42.56773333333333,42.644000000000005,0.2406576966241552,0.005643412827693349
